ubigeo_gestor,archivo_rel,n_filas
081306,Intersecciones\excels\CUSCO-URUBAMBA-OLLANTAYTAMBO.xlsx,24
090101,Intersecciones\excels\HUANCAVELICA-HUANCAVELICA-HUANCAVELICA.xlsx,9
090118,Intersecciones\excels\HUANCAVELICA-HUANCAVELICA-ASCENSION.xlsx,26
100101,Intersecciones\excels\HUANUCO-HUANUCO-HUANUCO.xlsx,17
100102,Intersecciones\excels\HUANUCO-HUANUCO-AMARILIS.xlsx,36
100601,Intersecciones\excels\HUANUCO-LEONCIO_PRADO-RUPA-RUPA.xlsx,9
100604,Intersecciones\excels\HUANUCO-LEONCIO_PRADO-JOSE_CRESPO_Y_CASTILLO.xlsx,15
110101,Intersecciones\excels\ICA-ICA-ICA.xlsx,29
110102,Intersecciones\excels\ICA-ICA-LA_TINGUIÑA.xlsx,13
110106,Intersecciones\excels\ICA-ICA-PARCONA.xlsx,9
110108,Intersecciones\excels\ICA-ICA-SALAS.xlsx,13
110110,Intersecciones\excels\ICA-ICA-SAN_JUAN_BAUTISTA.xlsx,23
110111,Intersecciones\excels\ICA-ICA-SANTIAGO.xlsx,13
110112,Intersecciones\excels\ICA-ICA-SUBTANJALLA.xlsx,25
110201,Intersecciones\excels\ICA-CHINCHA-CHINCHA_ALTA.xlsx,31
110207,Intersecciones\excels\ICA-CHINCHA-PUEBLO_NUEVO.xlsx,9
110301,Intersecciones\excels\ICA-NASCA-NASCA.xlsx,26
110501,Intersecciones\excels\ICA-PISCO-PISCO.xlsx,13
110506,Intersecciones\excels\ICA-PISCO-SAN_ANDRES.xlsx,14
110507,Intersecciones\excels\ICA-PISCO-SAN_CLEMENTE.xlsx,14
120101,Intersecciones\excels\JUNIN-HUANCAYO-HUANCAYO.xlsx,16
120107,Intersecciones\excels\JUNIN-HUANCAYO-CHILCA.xlsx,8
120114,Intersecciones\excels\JUNIN-HUANCAYO-EL_TAMBO.xlsx,9
120119,Intersecciones\excels\JUNIN-HUANCAYO-HUANCAN.xlsx,24
120302,Intersecciones\excels\JUNIN-CHANCHAMAYO-PERENE.xlsx,23
120303,Intersecciones\excels\JUNIN-CHANCHAMAYO-PICHANAQUI.xlsx,34
120401,Intersecciones\excels\JUNIN-JAUJA-JAUJA.xlsx,8
120601,Intersecciones\excels\JUNIN-SATIPO-SATIPO.xlsx,8
120606,Intersecciones\excels\JUNIN-SATIPO-PANGOA.xlsx,10
120801,Intersecciones\excels\JUNIN-YAULI-LA_OROYA.xlsx,22
120901,Intersecciones\excels\JUNIN-CHUPACA-CHUPACA.xlsx,20
120905,Intersecciones\excels\JUNIN-CHUPACA-HUAMANCACA_CHICO.xlsx,25
130101,Intersecciones\excels\LA_LIBERTAD-TRUJILLO-TRUJILLO.xlsx,33
130102,Intersecciones\excels\LA_LIBERTAD-TRUJILLO-EL_PORVENIR.xlsx,8
130103,Intersecciones\excels\LA_LIBERTAD-TRUJILLO-FLORENCIA_DE_MORA.xlsx,8
130104,Intersecciones\excels\LA_LIBERTAD-TRUJILLO-HUANCHACO.xlsx,27
130105,Intersecciones\excels\LA_LIBERTAD-TRUJILLO-LA_ESPERANZA.xlsx,11
130106,Intersecciones\excels\LA_LIBERTAD-TRUJILLO-LAREDO.xlsx,8
130107,Intersecciones\excels\LA_LIBERTAD-TRUJILLO-MOCHE.xlsx,15
130109,Intersecciones\excels\LA_LIBERTAD-TRUJILLO-SALAVERRY.xlsx,14
