Codigo_Unico;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;LATITUD;LONGITUD;nombre_establecimiento;Direccion;Categoria;Competencia_Via;Competencia Administrativa;Siniestros_fatales
1378;40120;AREQUIPA;AREQUIPA;SANTA ISABEL DE SIGUAS;-16.27925769;-72.07759969;PUESTO DE SALUD SONDOR;PLAZA PLAZA PRINCIPAL S/N SONDOR NUMERO S/N DISTRITO SANTA ISABEL DE SIGUAS PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-2;PROVINCIAL;DISTRITAL;0
1302;40102;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;-16.3666543;-71.5249147;CENTRO DE SALUD INDEPENDENCIA;AVENIDA AVENIDA FRANCISCO MOSTAJO 601 DISTRITO ALTO SELVA ALEGRE PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-3;PROVINCIAL;DISTRITAL;0
1279;40107;AREQUIPA;AREQUIPA;JACOBO HUNTER;-16.46142333;-71.555325;CENTRO DE SALUD UPIS PAISAJISTA;OTROS PUEBLO JOVEN UPIS PAISAJISTA E-17 PUEBLO JOVEN UPIS PAISAJISTA E-17 JACOBO HUNTER AREQUIPA AREQUIPA;I-3;PROVINCIAL;DISTRITAL;0
1295;40109;AREQUIPA;AREQUIPA;MARIANO MELGAR;-16.40465083;-71.49744255;CENTRO DE SALUD GENERALISIMO SAN MARTIN;AVENIDA AVENIDA ARGENTINA 1207 ALTO SAN MARTIN DISTRITO MARIANO MELGAR PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-3;PROVINCIAL;DISTRITAL;0
23338;40122;AREQUIPA;AREQUIPA;SOCABAYA;-16.4569563;-71.5197017;PUESTO DE SALUD HORACIO ZEBALLOS GAÅMEZ;OTROS ASENTAMIENTO URBANO MUNICIPAL HORACIO ZEBALLOS GAMEZ SECTOR D ZONA X 0 17 1 CALLE LOS ROSALES CON AVENIDA CHARACATO SOCABAYA AREQUIPA AREQUIPA;I-2;PROVINCIAL;DISTRITAL;0
29132;70103;CALLAO;CALLAO;CARMEN DE LA LEGUA REYNOSO;-12.04012691;-77.09662399;CENTRO DE SALUD MENTAL COMUNITARIO CARMEN DE LA LEGUA REYNOSO;AVENIDA 1ro de mayo 898 P.J. Reynoso Avenida Lopez Pazos con Jr.Independencia CARMEN DE LA LEGUA-REYNOSO CALLAO CALLAO;I-2;PROVINCIAL;DISTRITAL;0
5825;150139;LIMA;LIMA;SANTA ROSA;-11.7848464;-77.15687595;PUESTO DE SALUD VIRGEN DE LAS MERCEDES;OTROS ASOC. VIV. SANTA ROSA MZ. B LT. 09 DISTRITO SANTA ROSA PROVINCIA LIMA DEPARTAMENTO LIMA;I-2;PROVINCIAL;DISTRITAL;0
27727;220901;SAN MARTIN;SAN MARTIN;TARAPOTO;-6.48721408;-76.35972864;CENTRO DE ATENCIAìN PRIMARIA METROPOLITANO - ESSALUD;PLAZA PLAZA MAYOR TARAPOTO - ESQUINA CON RAMIREZ HURTADO C-2 DISTRITO TARAPOTO PROVINCIA SAN MARTIN DEPARTAMENTO SAN MARTIN;I-2;DISTRITAL;PROVINCIAL;0
28380;150115;LIMA;LIMA;LA VICTORIA;-12.0734497;-77.0162899;POLICLINICO MUNICIPAL;AVENIDA MARISCAL JOSE LA MAR NUMERO 641 DISTRITO LA VICTORIA PROVINCIA LIMA DEPARTAMENTO LIMA;I-2;PROVINCIAL;DISTRITAL;1
10366;50410;AYACUCHO;HUANTA;UCHURACCAY;-12.83232922;-74.05929679;PUESTO DE SALUD IQUICHA;PLAZA PLAZA PRINCIPAL DE IQUICHA NUMERO S/N DISTRITO UCHURACCAY PROVINCIA HUANTA DEPARTAMENTO AYACUCHO;I-1;PROVINCIAL;DISTRITAL;0
6203;150101;LIMA;LIMA;LIMA;-12.0531204;-77.0231298;CENTRO ESPECIALIZADO DE REFERENCIA DE ITSS Y VIH/SIDA RAUL PATRUCCO PUIG;JR. HUANTA 927 JR. HUANTA 927 LIMA LIMA LIMA;I-3;DISTRITAL;PROVINCIAL;0
5639;150128;LIMA;LIMA;RIMAC;-12.0168446;-77.0294195;CENTRO DE SALUD SAN JUAN DE AMANCAES;OTROS AAHH SAN JUAN DE AMANCAES 2DA ZONA DISTRITO RIMAC PROVINCIA LIMA DEPARTAMENTO LIMA;I-3;PROVINCIAL;DISTRITAL;0
1318;40112;AREQUIPA;AREQUIPA;PAUCARPATA;-16.40793389;-71.48030181;PUESTO DE SALUD MIGUEL GRAU  MODULO C-D;AVENIDA AV.MIGUEL GRAU MZ.11 LTE.6 SECTOR D-PJ MIGUEL GRAU DISTRITO PAUCARPATA PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-2;PROVINCIAL;DISTRITAL;0
3556;50101;AYACUCHO;HUAMANGA;AYACUCHO;-13.16742936;-74.24855161;PUESTO DE SALUD HUASCAHURA;OTROS COMUNIDAD DE HUASCAHURA DISTRITO AYACUCHO PROVINCIA HUAMANGA DEPARTAMENTO AYACUCHO;I-1;PROVINCIAL;PROVINCIAL;0
6253;70103;CALLAO;CALLAO;CARMEN DE LA LEGUA REYNOSO;-12.04196315;-77.08542386;PUESTO DE SALUD VILLA SEAëOR. DE LOS MILAGROS;OTROS PJE VILLA SR DE LOS MILAGROS DISTRITO CARMEN DE LA LEGUA-REYNOSO PROVINCIA CALLAO DEPARTAMENTO CALLAO;I-2;PROVINCIAL;DISTRITAL;0
7314;70106;CALLAO;CALLAO;VENTANILLA;-11.83265968;-77.1419038;C.S. MATERNO INFANTIL PACHACUTEC  PERU-COREA;OTROS MZ. X LTE. 1 AA.HH HIROSHIMA MZ. X LTE. 1 AA.HH HIROSHIMA VENTANILLA CALLAO CALLAO;I-4;PROVINCIAL;DISTRITAL;0
7722;40109;AREQUIPA;AREQUIPA;MARIANO MELGAR;-16.39311429;-71.49319898;PUESTO DE SALUD EL MIRADOR;OTROS AAHH P-1 DISTRITO MARIANO MELGAR PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-2;PROVINCIAL;DISTRITAL;0
9296;60101;CAJAMARCA;CAJAMARCA;CAJAMARCA;-7.15044333;-78.51540667;POLICLINICO PNP CAJAMARCA;JR. TAYABAMBA N¬∞ 598 URB. EL INGENIO JR. TAYABAMBA N¬∞ 598 URB. EL INGENIO CAJAMARCA CAJAMARCA CAJAMARCA;I-3;PROVINCIAL;PROVINCIAL;0
31020;50101;AYACUCHO;HUAMANGA;AYACUCHO;-13.1638737;-74.2235641;PUESTO  DE SALUD  ACHUANI;CALLE LOS ANGELES NUMERO S/N DISTRITO UPAHUACHO PROVINCIA PARINACOCHAS DEPARTAMENTO AYACUCHO;I-1;PROVINCIAL;PROVINCIAL;0
31791;200101;PIURA;PIURA;PIURA;-5.19765181;-80.62568686;POLICLINICO SOCIAL SOCIEDAD DE BENEFICENCIA DE PIURA;CALLE AYACUCHO NUMERO 200 DISTRITO PIURA PROVINCIA PIURA DEPARTAMENTO PIURA;I-3;DISTRITAL;PROVINCIAL;0
32439;60101;CAJAMARCA;CAJAMARCA;CAJAMARCA;-7.0656229;-78.5556265;PUESTO DE SALUD TUAL;OTROS CARRETERA DESVIO AL C.P. LA RAMADA CAJAMARCA CAJAMARCA CAJAMARCA;I-1;PROVINCIAL;PROVINCIAL;0
34011;60101;CAJAMARCA;CAJAMARCA;CAJAMARCA;-7.1798477;-78.4917133;"CENTRO DE SALUD MENTAL COMUNITARIO  ""CAMINANDO JUNTOS""";OTROS BAAëOS DEL INCA S/N CRUCE A LLACANORA LOS BAAëOS DEL INCA CAJAMARCA CAJAMARCA;I-3;PROVINCIAL;PROVINCIAL;0
35003;150113;LIMA;LIMA;JESUS MARIA;-12.0796889;-77.03692643;CENTRO NACIONAL DE TELEMEDICINA- CENATE;DOMINGO CUETO 120 3 POR CALLE MILLER JESUS MARIA LIMA LIMA;I-2;PROVINCIAL;DISTRITAL;0
35044;30201;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;-13.6616546;-73.3767679;POSTA MEDICA POLICIAL ANDAHUAYLAS;AVENIDA AVENIDA LOS CHANKAS NUMERO 460 PISO 1 DEPARTAMENTO 1 DISTRITO ANDAHUAYLAS PROVINCIA ANDAHUAYLAS DEPARTAMENTO APURIMAC;I-2;PROVINCIAL;PROVINCIAL;0
3570;50114;AYACUCHO;HUAMANGA;VINCHOS;-13.34272847;-74.53828948;PUESTO DE SALUD OCCOLLO;OTROS COMUNIDAD DE OCCOLLO CHACAPAMPA DISTRITO VINCHOS PROVINCIA HUAMANGA DEPARTAMENTO AYACUCHO;I-2;PROVINCIAL;DISTRITAL;0
3577;50106;AYACUCHO;HUAMANGA;OCROS;-13.39248277;-73.9163231;CENTRO DE SALUD OCROS;OTROS CENTRO POBLADO OCROS MZ-Q L-10 DISTRITO OCROS PROVINCIA HUAMANGA DEPARTAMENTO AYACUCHO;I-3;PROVINCIAL;DISTRITAL;0
3547;50102;AYACUCHO;HUAMANGA;ACOCRO;-13.24564241;-74.03203647;PUESTO DE SALUD PAMPAMARCA;PLAZA PLAZA PRINCIPAL DE PAMPAMARCA DISTRITO ACOCRO PROVINCIA HUAMANGA DEPARTAMENTO AYACUCHO;I-1;PROVINCIAL;DISTRITAL;0
10261;70106;CALLAO;CALLAO;VENTANILLA;-11.88545383;-77.12759948;POSTA NAVAL DE VENTANILLA;OTROS ESQ. ESCORPION CON CISNE S/N MZA. VI LOTE 17 URB. ALMIRANTE GRAU NUMERO S/N DISTRITO VENTANILLA PROVINCIA CALLAO DEPARTAMENTO CALLAO;I-2;PROVINCIAL;DISTRITAL;0
23034;180301;MOQUEGUA;ILO;ILO;-17.65268394;-71.33634812;Centro Salud Mental Comunitario Ilo;AVENIDA 1 NUMERO 1 MANZANA C LOTE 01 URBANIZACION URB. Luis E. Valcarcel DISTRITO ILO PROVINCIA ILO DEPARTAMENTO MOQUEGUA;I-3;DISTRITAL;PROVINCIAL;0
2906;230111;TACNA;TACNA;LA YARADA LOS PALOS;-18.20842309;-70.51386387;PUESTO DE SALUD LOS OLIVOS;OTROS COOPERATIVA AGRARIA LOS OLIVOS NUMERO S/N DISTRITO LA YARADA LOS PALOS PROVINCIA TACNA DEPARTAMENTO TACNA;I-2;PROVINCIAL;DISTRITAL;0
2917;230101;TACNA;TACNA;TACNA;-18.00060548;-70.23523973;CENTRO DE SALUD BOLOGNESI;AVENIDA BASADRE Y FORERO NUMERO 2119 DISTRITO TACNA PROVINCIA TACNA DEPARTAMENTO TACNA;I-3;DISTRITAL;PROVINCIAL;0
1317;40112;AREQUIPA;AREQUIPA;PAUCARPATA;-16.40950532;-71.48503702;CENTRO DE SALUD MIGUEL GRAU  B;CALLE CALLE 200 MILLAS MZ. 6 LTE. 4 DISTRITO PAUCARPATA PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-3;PROVINCIAL;DISTRITAL;0
3648;50411;AYACUCHO;HUANTA;PUCACOLPA;-12.34923667;-74.55829167;PUESTO DE SALUD PALOMA ALEGRE;PLAZA PLAZA PRINCIPAL DE PALOMA ALEGRE DISTRITO PUCACOLPA PROVINCIA HUANTA DEPARTAMENTO AYACUCHO;I-1;PROVINCIAL;DISTRITAL;0
3658;50401;AYACUCHO;HUANTA;HUANTA;-12.93698;-74.22884;PUESTO DE SALUD HUANCAYOCC;PLAZA PLAZA PRINCIPAL DE HUANCAYOCC DISTRITO HUANTA PROVINCIA HUANTA DEPARTAMENTO AYACUCHO;I-2;PROVINCIAL;PROVINCIAL;0
3660;50401;AYACUCHO;HUANTA;HUANTA;-12.94185667;-74.26875167;PUESTO DE SALUD QUINRAPA;PLAZA PLAZA PRINCIPAL DE QUINRAPA DISTRITO HUANTA PROVINCIA HUANTA DEPARTAMENTO AYACUCHO;I-1;PROVINCIAL;PROVINCIAL;0
3662;50404;AYACUCHO;HUANTA;IGUAIN;-12.981775;-74.26951333;PUESTO DE SALUD CHIHUA;PLAZA PLAZA PRINCIPAL DE CHIHUA DISTRITO IGUAIN PROVINCIA HUANTA DEPARTAMENTO AYACUCHO;I-1;PROVINCIAL;DISTRITAL;0
3667;50406;AYACUCHO;HUANTA;SANTILLANA;-12.76943;-74.25808167;CENTRO DE SALUD SAN JOSE DE SECCE;PLAZA DE SAN JOSE DE SECCE NUMERO S/N DISTRITO SANTILLANA PROVINCIA HUANTA DEPARTAMENTO AYACUCHO;I-4;PROVINCIAL;DISTRITAL;0
5996;150140;LIMA;LIMA;SANTIAGO DE SURCO;-12.162636;-76.9903538;PUESTO DE SALUD LOS VIAëEDOS DE SURCO;OTROS MZ F LOTE 12 AAHH VIAëEDOS DE SURCO DISTRITO SANTIAGO DE SURCO PROVINCIA LIMA DEPARTAMENTO LIMA;I-2;PROVINCIAL;DISTRITAL;0
5623;150132;LIMA;LIMA;SAN JUAN DE LURIGANCHO;-11.9558652;-76.9924377;PUESTO DE SALUD PROYECTOS ESPECIALES;AVENIDA CRUCE DE AV. JOSE CARLOS MARIAÅTEGUI S/N CON AV. BAYOVAR NUMERO S/N DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA;I-2;PROVINCIAL;DISTRITAL;2
6113;150133;LIMA;LIMA;SAN JUAN DE MIRAFLORES;-12.1480219;-76.9691391;PUESTO DE SALUD EL BRILLANTE;PROLONGACION PROLONGACION AV. SAN JUAN CON AVDA DEFENSORES DE LIMA S/N PAMPLONA ALTA S/N PROLONGACION AV. SAN JUAN CON AVDA DEFENSORES DE LIMA S/N PAMPLONA ALTA SAN JUAN DE MIRAFLORES LIMA LIMA;I-2;PROVINCIAL;DISTRITAL;0
6193;150101;LIMA;LIMA;LIMA;-12.0512449;-77.0821925;CENTRO DE SALUD UNIDAD VECINAL N¬∫ 3;OTROS BLOCK N∫ 1 UNIDAD VECINAL N∫ 3 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA;I-3;DISTRITAL;PROVINCIAL;0
5694;150201;LIMA;BARRANCA;BARRANCA;-10.733333;-77.733333;PUESTO DE SALUD SANTA ELENA;OTROS CENTRO POBLADO SANTA ELENA MZ. B. LOTE 20 INT.3 CENTRO POBLADO SANTA ELENA MZ. B. LOTE 20 INT.3 BARRANCA BARRANCA LIMA;I-2;DISTRITAL;PROVINCIAL;0
8836;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;-6.771262;-79.862752;POLICLINICO CHICLAYO OESTE;CARRETERA JUAN TOMIS STACK # 180 URB. SANTA ELENA CARRETERA A PIMENTEL DISTRITO CHICLAYO PROVINCIA CHICLAYO DEPARTAMENTO LAMBAYEQUE;I-3;DISTRITAL;PROVINCIAL;0
13306;40125;AREQUIPA;AREQUIPA;VITOR;-16.4678697;-71.9379111;POSTA MEDICA VITOR;CALLE CALLE JUAN VELAZCO ALVARADO 401 DISTRITO VITOR PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-2;PROVINCIAL;DISTRITAL;0
1291;40102;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;-16.38123178;-71.5188428;CENTRO DE SALUD ALTO SELVA ALEGRE;AVENIDA AVENIDA ESPAAëA 301 DISTRITO ALTO SELVA ALEGRE PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-3;PROVINCIAL;DISTRITAL;0
1294;40109;AREQUIPA;AREQUIPA;MARIANO MELGAR;-16.401929;-71.511537;CENTRO DE SALUD MARIANO MELGAR;CALLE CALLE ICA 303 URB. SAN LORENZO DISTRITO MARIANO MELGAR PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-4;PROVINCIAL;DISTRITAL;0
1298;40112;AREQUIPA;AREQUIPA;PAUCARPATA;-16.4130014;-71.50016643;CENTRO DE SALUD 15 DE AGOSTO;AVENIDA AVENIDA SALAVERRY 703 DISTRITO PAUCARPATA PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-3;PROVINCIAL;DISTRITAL;0
1323;40125;AREQUIPA;AREQUIPA;VITOR;-16.58611246;-71.92800737;CENTRO DE SALUD SAN ISIDRO;OTROS CENTRO DE SERV. SAN ISIDRO 1¬∫ ASENTAMIENTO DISTRITO LA JOYA PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-3;PROVINCIAL;DISTRITAL;0
6102;150123;LIMA;LIMA;PACHACAMAC;-12.1167928;-76.8701936;PUESTO DE SALUD HUERTOS DE MANCHAY;OTROS MZ T LOTE S/N SECTOR RINCONADA ALTA S/N MZ T LOTE S/N SECTOR RINCONADA ALTA PACHACAMAC LIMA LIMA;I-2;PROVINCIAL;DISTRITAL;0
6262;70106;CALLAO;CALLAO;VENTANILLA;-11.88563281;-77.13208529;PUESTO DE SALUD HIJOS DEL ALMIRANTE GRAU;CALLE CALLE 10 MZA Y S/N AAHH HIJOS DE GRAU S/N CALLE 10 MZA Y S/N AAHH HIJOS DE GRAU VENTANILLA CALLAO CALLAO;I-2;PROVINCIAL;DISTRITAL;0
9901;211101;PUNO;SAN ROMAN;JULIACA;-15.4955005;-70.1316031;POLICLINICO JULIACA - ESSALUD - RED ASISTENCIAL JULIACA;JR. MARIANO NAöAëEZ 135 - JULIACA DISTRITO JULIACA PROVINCIA SAN ROMAN DEPARTAMENTO PUNO;I-3;DISTRITAL;PROVINCIAL;0
29753;50110;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;-13.16690818;-74.2218666;PUESTO DE SALUD 24 DE JUNIO;AVENIDA 24 DE JUNIO NUMERO 278 PISO 1 DISTRITO SAN JUAN BAUTISTA PROVINCIA HUAMANGA DEPARTAMENTO AYACUCHO;I-1;PROVINCIAL;DISTRITAL;0
29380;70106;CALLAO;CALLAO;VENTANILLA;-11.87726528;-77.12920484;POLICLINICO MUNICIPAL QURA - VIRGEN DE GUADALUPE;OTROS SECTOR G BARRIO XV GRUPO RESIDENCIAL 03 MANZANA J LOTE 01 URBANIZACION PROYECTO ESPECIAL CIUDAD DE PACHACUTEC DISTRITO VENTANILLA PROVINCIA CALLAO DEPARTAMENTO CALLAO;I-3;PROVINCIAL;DISTRITAL;0
6243;70101;CALLAO;CALLAO;CALLAO;-11.99616332;-77.12085548;PUESTO DE SALUD FAUCETT;CALLE CALLE  3 S/N  - URB. FAUCETT NUMERO S/N DISTRITO CALLAO PROVINCIA CALLAO DEPARTAMENTO CALLAO;I-2;PROVINCIAL;PROVINCIAL;0
1273;40107;AREQUIPA;AREQUIPA;JACOBO HUNTER;-16.44873667;-71.55064167;PUESTO DE SALUD DANIEL ALCIDES CARRION;AVENIDA AV. UNION 126 DISTRITO JACOBO HUNTER PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-2;PROVINCIAL;DISTRITAL;0
1329;40108;AREQUIPA;AREQUIPA;LA JOYA;-16.42200395;-71.85719181;PUESTO DE SALUD BENITO LAZO;OTROS PP.JJ. BENITO LAZO SECTOR 1 R-2 DISTRITO LA JOYA PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-1;PROVINCIAL;DISTRITAL;0
6256;70106;CALLAO;CALLAO;VENTANILLA;-11.82855773;-77.12271214;CENTRO DE SALUD VILLA LOS REYES;OTROS MZA. N1  S/N SECTOR 1 AA.HH. VILLA LOS REYES S/N MZA. N1  S/N SECTOR 1 AA.HH. VILLA LOS REYES VENTANILLA CALLAO CALLAO;I-4;PROVINCIAL;DISTRITAL;0
3656;50410;AYACUCHO;HUANTA;UCHURACCAY;-12.73218442;-74.12686077;PUESTO DE SALUD CARHUAHURAN;PLAZA PLAZA PRINCIPAL DE CARHUAHURAN DISTRITO UCHURACCAY PROVINCIA HUANTA DEPARTAMENTO AYACUCHO;I-2;PROVINCIAL;DISTRITAL;0
6235;70101;CALLAO;CALLAO;CALLAO;-12.04578311;-77.10425695;PUESTO DE SALUD MIGUEL GRAU;AVENIDA ALT. CDRA.10 AV.TUPAC AMARU - PP.JJ. MIGUEL GRAU DISTRITO CALLAO PROVINCIA CALLAO DEPARTAMENTO CALLAO;I-2;PROVINCIAL;PROVINCIAL;0
10605;160101;LORETO;MAYNAS;IQUITOS;-3.7436735;-73.2516326;HOSPITAL REGIONAL DEL ORIENTE - FAP;PASAJE PSJE. SAN JOSE S/N MORONA COCHA GRP 42 FAP NUMERO S/N DISTRITO IQUITOS PROVINCIA MAYNAS DEPARTAMENTO LORETO;I-4;DISTRITAL;PROVINCIAL;0
3591;50114;AYACUCHO;HUAMANGA;VINCHOS;-13.35397842;-74.33356501;PUESTO DE SALUD ROSASPATA;PLAZA PLAZA PRINCIPAL DE ROSASPATA DISTRITO VINCHOS PROVINCIA HUAMANGA DEPARTAMENTO AYACUCHO;I-1;PROVINCIAL;DISTRITAL;0
1249;40104;AREQUIPA;AREQUIPA;CERRO COLORADO;-16.39405746;-71.57307258;CENTRO DE SALUD SEMI RURAL PACHACUTEC;AVENIDA AV. REPUBLICA DEL PERU, ZONA C, MZ 12, LT 03 DISTRITO CERRO COLORADO PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-3;PROVINCIAL;DISTRITAL;0
