ID_INT;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;LATITUD;LONGITUD;Vias;TIPO_REDVIAL;Competencia_Via;Competencia_Administrativa;Siniestro_fatal
I-144656;190101;PASCO;PASCO;CHAUPIMARCA;-10.6922386;-76.2600864;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-144655;190101;PASCO;PASCO;CHAUPIMARCA;-10.6926911;-76.2612393;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-144654;190101;PASCO;PASCO;CHAUPIMARCA;-10.6914457;-76.2605808;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-144653;190101;PASCO;PASCO;CHAUPIMARCA;-10.6917634;-76.2617392;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-144649;190101;PASCO;PASCO;CHAUPIMARCA;-10.6837957;-76.2538689;Jirón Yauli / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-676169;060701;CAJAMARCA;HUALGAYOC;BAMBAMARCA;-6.7236294;-78.5042024;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-668390;060701;CAJAMARCA;HUALGAYOC;BAMBAMARCA;-6.6309933;-78.4674123;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-668391;060701;CAJAMARCA;HUALGAYOC;BAMBAMARCA;-6.6309024;-78.4603811;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-668392;060701;CAJAMARCA;HUALGAYOC;BAMBAMARCA;-6.6567631;-78.4722096;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-668583;060701;CAJAMARCA;HUALGAYOC;BAMBAMARCA;-6.7454225;-78.5116777;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-668584;060701;CAJAMARCA;HUALGAYOC;BAMBAMARCA;-6.7485687;-78.5046448;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-668595;060701;CAJAMARCA;HUALGAYOC;BAMBAMARCA;-6.7455235;-78.518776;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-668607;060701;CAJAMARCA;HUALGAYOC;BAMBAMARCA;-6.7410794;-78.5185576;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-668608;060701;CAJAMARCA;HUALGAYOC;BAMBAMARCA;-6.7552073;-78.5312819;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-675378;060701;CAJAMARCA;HUALGAYOC;BAMBAMARCA;-6.7261647;-78.4350088;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-675379;060701;CAJAMARCA;HUALGAYOC;BAMBAMARCA;-6.7412813;-78.4298954;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
