ID_INT;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;LATITUD;LONGITUD;Vias;TIPO_REDVIAL;Competencia_Via;Competencia_Administrativa;Siniestro_fatal
I-591708;110112;ICA;ICA;SUBTANJALLA;-14.034106;-75.7730547;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-591709;110112;ICA;ICA;SUBTANJALLA;-14.0351179;-75.7747841;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-591710;110112;ICA;ICA;SUBTANJALLA;-14.039858;-75.7844926;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-591711;110112;ICA;ICA;SUBTANJALLA;-14.0392637;-75.7814289;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-591673;110112;ICA;ICA;SUBTANJALLA;-14.0365294;-75.7714168;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-429891;120119;JUNIN;HUANCAYO;HUANCAN;-12.1167394;-75.2079317;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-577630;220101;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;-5.8725422;-77.1875328;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;PROVINCIAL;0
I-429902;120119;JUNIN;HUANCAYO;HUANCAN;-12.1036878;-75.2137502;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-429889;120119;JUNIN;HUANCAYO;HUANCAN;-12.1157315;-75.2114871;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-429904;120119;JUNIN;HUANCAYO;HUANCAN;-12.1087767;-75.2109285;Jirón La Cantuta / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-429906;120119;JUNIN;HUANCAYO;HUANCAN;-12.1066198;-75.210129;Jirón 2 de Mayo / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
